gaze_baseline,gaze_familiar_song,diff,female,baby_age,dad_sing,song2,parent_song_performances,stim,other_people_sing_at_home,days_between_tests,performance_right_notes,performance_AMMA
0.4371257,0.6027398,0.165614,0,5.848049,0,1,35,C1,0,7,0.8,43
0.4125326,0.6830266,0.270494,0,5.979466,1,0,239,C1,1,7,0.8,55
0.754491,0.7241379,-0.0303531,0,5.749486,0,0,102,C2,0,9,0.96,65
0.4388778,0.2816538,-0.157224,1,5.913758,0,1,27,C3,1,7,1,49
0.474645,0.4985423,0.0238973,1,5.946612,0,1,60,C4,0,14,1,57
0.8709016,0.9509202,0.0800186,0,5.749486,0,1,126,C5,0,13,0.64,66
0.236715,0.4177546,0.1810396,1,5.486653,0,0,134.6667,C6,2,12,0.96,61
0.7592593,0.9382023,0.178943,0,5.749486,0,0,63.77777,C7,2,14,0.84,58
0.4163347,0.5,0.0836653,0,6.110883,0,1,44,C8,0,9,0.52,46
0.7995338,0.5862944,-0.2132394,1,5.420945,0,0,55,C1,0,7,0.92,56
0.3786765,0.4726225,0.093946,1,6.110883,0,1,88,C2,1,11,0.8,53
0.6978922,0.5083799,-0.1895124,1,5.552361,1,0,53.66666,C2,0,7,0.96,44
0.5934066,0.8111888,0.2177822,1,5.749486,0,0,59.5,C3,0,7,1,45
0.6149068,0.5718015,-0.0431053,1,5.782341,0,1,94,C4,0,7,0.68,42
0.6149068,0.7774481,0.1625412,0,5.815195,0,0,54,C6,1,7,1,60
0.3168317,0.2628458,-0.0539858,0,5.158111,0,0,26,C7,0,7,1,65
0.3104167,0.5079365,0.1975199,1,5.256673,0,0,44,C8,0,12,0.72,54
0.5043668,0.4369748,-0.067392,0,5.059548,0,1,23,C1,0,7,0.84,58
0.4693396,0.5421053,0.0727656,0,5.190965,1,0,38,C2,0,7,0.56,46
0.5040816,0.6008968,0.0968152,1,5.880904,1,0,31,C3,1,7,0.8,54
0.5640327,0.4186747,-0.145358,0,5.256673,0,1,78.4,C5,0,7,1,37
0.2566372,0.7894737,0.5328366,1,5.289528,0,0,135,C5,0,7,0.96,57
0.7,0.7601078,0.0601078,1,5.552361,0,1,26,C6,0,7,0.88,55
0.3823529,0.6238938,0.2415408,1,5.552361,1,1,120.9091,C7,1,14,0.8,66
0.3718593,0.3664122,-0.0054471,0,5.650924,0,0,13,C8,0,7,0.96,55
0.2844639,0.4615385,0.1770746,0,5.092402,0,1,245,C7,1,7,1,65
0.7678161,0.8995215,0.1317055,0,5.815195,0,0,66.5,C3,0,7,0.68,35
0.4737864,0.5311005,0.057314,1,5.355236,0,0,63,C4,0,7,0.8,61
0.8212181,0.5418994,-0.2793186,0,5.223819,0,1,57.16667,C8,0,7,0.72,
0.5901639,0.7003891,0.1102251,1,6.045175,0,1,29.71428,C5,1,8,1,53
0.4220374,0.7629629,0.3409255,1,5.848049,0,1,70,C4,0,7,0.76,45
0.4354839,0.460274,0.0247901,1,5.420945,1,1,140,C6,1,7,0.88,43
